m,x,y,z,vx,vy,vz,Eb,simulation,event
51.3938327,-1.656224395,-1.282645672,0.3154656186,-250.0303619,-193.3492893,47.5170078,-794940.5798071533,55,ionization
25.62759732,-3.379254445,-0.3606930609,-0.2220460407,-509.4077419,-54.69155606,-33.39355351,-11171477.916276509,55,ionization
40.82535473,4.20625596,1.841105217,-0.2577437667,634.530067,277.7336358,-38.85537842,-11510225.89883081,55,ionization
31.04861365,3.716220934,2.13095321,1.785285491,262.7280686,363.0779873,196.0006664,2686524.301438458,56,flyby
29.0672921,3.716190903,2.130817498,1.785206543,866.3365094,269.8450159,341.6425919,-42352947.10770795,56,flyby
28.22975394,-7.913746429,-4.53777379,-3.801724937,-1181.002099,-677.1838001,-567.3508175,-27717977.221682455,56,flyby
55.98669957,0.8929943781,2.160608776,2.347069904,133.5346735,323.2243594,351.3000126,-1123859.2607826048,57,ionization
24.33159853,-0.2275014368,0.05153363012,2.831550676,-33.7747964,8.010191605,423.6839505,-18105426.598767497,57,ionization
27.34397339,-1.625964658,-4.469696057,-7.325228452,-243.3578604,-668.9286011,-1096.294076,-29595640.004552737,57,ionization
36.5448877,-0.8620701057,-1.225844724,1.092907308,-86.30947166,-137.1796249,144.6364207,1253801.099972382,58,flyby
25.27889601,-0.8626212339,-1.225533104,1.092837602,-191.5171447,-251.2894437,191.7483901,-7130964.61469211,58,flyby
24.49449016,2.176422833,3.093694998,-2.758412301,326.4208351,464.0036852,-413.6811708,-6184766.570287622,58,flyby
37.59848469,-1.836296534,-1.436061722,1.081032083,-204.6227196,-136.6386755,82.83845314,1828587.7369289636,59,flyby
32.9872229,-1.836698582,-1.435893046,1.08080402,-354.3770388,-303.7314608,251.4395546,-22661348.127195213,59,flyby
19.42473212,6.673428074,5.218083216,-3.927873542,997.8731464,780.2766316,-587.3384959,-17520123.088492673,59,flyby
35.45089501,-1.195607577,0.4198410639,0.1318620307,-179.4420017,62.99136068,19.79696698,-1318496.3376921236,60,ionization
15.11144386,-0.5922804991,2.927986171,-1.961549819,-88.99445977,439.6963426,-294.576121,-3680733.210262389,60,ionization
39.54988058,1.297995631,-1.495070004,0.6312844084,194.8479801,-224.4645642,94.80813244,-2133973.953570348,60,ionization
46.53855747,0.8189171716,-1.00788344,-0.1055954266,55.74627768,-101.7729966,-16.30228012,452748.39886356477,61,flyby
39.61548303,0.8171516838,-1.009280057,-0.1055842645,203.919652,-212.5559623,-15.61792469,-18057021.34175574,61,flyby
8.680328617,-8.119863385,10.00982361,1.048005308,-1229.530278,1515.711691,158.6801942,-15724580.056499435,61,flyby
35.93906461,0.1881916135,0.1762672341,1.022878075,130.2399301,236.3492465,126.9411179,7936741.894657917,62,flyby
14.39336273,0.1881471054,0.1762602119,1.022883203,-227.0358296,-498.1972738,216.6071792,-4386926.114484998,62,flyby
6.8184438,-1.389099972,-1.301155651,-7.550698031,-207.2162293,-194.0966015,-1126.33483,-5358172.618569231,62,flyby
29.57910913,0.02945859926,0.6539253451,-1.235016334,-167.7894743,190.0348218,-191.4385833,3367190.253828488,63,flyby
23.51191111,0.02931053928,0.6539030443,-1.235018328,220.9887211,-18.73943863,-175.2897442,-7428233.445533668,63,flyby
7.760134766,-0.2010926309,-4.473767588,8.449379558,-29.99999384,-667.5735506,1260.800221,-8801390.545136873,63,flyby
85.09911867,-0.008441810291,0.03752052805,0.1116889261,30.95566556,73.7393296,28.13996394,3804823.0434420253,64,flyby
39.23597715,-0.009163152475,0.03761102497,0.1116536091,-71.26023051,-142.0057587,-7.745866515,-259665.28366499752,64,flyby
7.692385225,0.140127649,-0.6069208768,-1.805092598,21.01622765,-91.44332166,-271.797294,-413598.5472449612,64,flyby
32.61448812,2.086871771,0.8236624687,2.332088595,529.177062,-373.2112612,323.6897669,54560063.53042133,65,flyby
15.84384842,2.086877733,0.8236666288,2.332090286,-137.7351815,1143.826876,397.0743385,-19131203.161438216,65,flyby
17.32978467,-5.835411748,-2.303166472,-6.521094343,-869.9810154,-343.3698405,-972.2083689,-20584301.583535917,65,flyby
33.59882235,2.151419614,0.2003535283,1.152940117,328.0308705,30.02871749,175.8372798,-391366.0322156516,66,ionization
32.9563889,2.405487017,-1.203512359,1.05809826,367.0321178,-183.0743729,161.4836687,-10047192.11784882,66,ionization
43.54514158,-3.480556625,0.756267578,-1.690395879,-530.8859568,115.3869411,-257.8897141,-8848482.494468411,66,ionization
35.39508163,-0.9118693731,0.8679340716,-0.7022475925,-1188.617443,-1700.594547,-358.154074,407040107.41696155,67,flyby
29.91070251,-0.911868491,0.8679324847,-0.7022477173,1109.754999,2294.917695,195.2491456,-43289205.450738095,67,flyby
3.410631792,17.46020142,-16.61893488,13.44643345,2602.937029,-2477.522686,2004.570999,-31982823.565581933,67,flyby
55.04067343,0.6775693273,-1.161853003,-0.01646646224,-346.2894459,-953.029177,-48.75572709,214036963.28634697,68,flyby
15.62387076,0.6775719767,-1.161852351,-0.01646657688,1676.789152,2573.991354,160.6569027,-18655166.714267515,68,flyby
4.506578703,-10.62450525,18.21821122,0.2581996047,-1583.891722,2715.953776,38.49158744,-31242844.267884303,68,flyby
37.51865262,2.131672309,-0.453611805,-0.09857532763,863.0706097,-193.540315,-442.7718811,-22454266.73292254,69,change23
23.88509078,-5.196564122,1.105802771,0.2403122574,-785.4311728,167.1334239,36.32022984,-2997771.3504873817,69,change23
20.70803896,2.131680987,-0.4536062475,-0.09858329,-657.7711945,157.8795003,760.317886,33747950.00908301,69,change23
51.09520114,1.503157533,0.2044423644,1.428281414,680.4559368,-206.4617891,110.3268283,45170518.56711142,70,flyby
13.28138191,1.503156116,0.2044505337,1.428283569,-1531.498158,942.0353751,607.7487626,-13504652.009166008,70,flyby
13.43914759,-7.200466122,-0.9793336415,-6.841795959,-1073.551796,-146.0155812,-1020.073246,-23185538.574584827,70,flyby
41.17917682,0.03868454962,-0.07389004344,0.02576652113,-301.8660731,-6.588894511,100.9176214,35454077.617739506,71,flyby
24.20809951,0.0386881665,-0.07387932322,0.02574515694,528.3897168,-17.22082621,-161.7484267,-1246269.3226817574,71,flyby
10.3737587,-0.2438426577,0.4657144349,-0.1623601916,-34.77181739,66.34130852,-23.14325745,-380703.55501257547,71,flyby
34.94694457,1.106316064,2.714238318,2.637650701,164.9834876,404.7820831,393.3566003,-7216928.684284104,72,change13
23.98604288,-0.7318217565,-1.795435309,-1.744813453,-558.8224224,-103.6938512,-88.67857216,5856542.666653723,72,change13
28.84388256,-0.7318313718,-1.795491562,-1.744795017,264.8142035,-404.1998103,-402.8432459,-10257951.98179361,72,change13
58.08347552,-2.174100047,-0.250451954,-2.234372425,-59.27915389,100.4343054,-284.8702712,14650562.250791503,73,flyby
25.57136207,-2.174089539,-0.2503892531,-2.234371066,-926.6377472,-350.3748679,-443.6561452,-37880699.29040303,73,flyby
29.64089509,6.135905043,0.7067908754,6.306018325,915.5772301,105.4620341,940.9684581,-24071192.343685724,73,flyby
